steering,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
-0.0001757331192493,0.72201526,-3.4712043,3.5955904,-1.5682325,-1.9982346,-1.654812,-0.43776923,1.0884001
-0.0944906547665596,-2.1791396,-1.8468677,1.9938896,-1.6323477,-0.9284466,-2.7255423,0.6185872,-0.09374505
0.0810333639383316,-0.78077006,0.08481313,0.45007503,-1.9824588,-4.8930836,-1.8024127,0.6059154,1.2389451
-0.0001757331192493,-0.6655538,-0.6683024,3.6530814,-1.1090027,-0.62828094,-0.96344775,1.4749178,2.439307
-0.0871766656637191,-3.3271475,-0.20423448,1.3475764,-0.38859576,-0.35073215,-3.1409476,1.6492242,1.4541866
-0.1497704088687896,-3.9028242,-4.6722226,-0.42124853,-1.1797851,0.19748327,-1.0150411,0.66704905,0.58207643
-0.0946048125624656,-0.20948537,-3.4330676,-0.6149596,-0.7967081,-0.4498835,-0.75815845,2.88084,1.0889703
0.1283951550722122,-0.12739284,-1.6857649,1.9924302,0.615572,-1.2682531,0.6682774,3.4189963,1.2914356
-0.0087959133088588,-1.57746,-3.2824214,1.1197021,2.6270328,-0.86862814,-1.1080868,0.71910346,1.4604312
0.0928503572940826,-1.7667447,0.09804937,3.015207,-1.5802494,-2.5041673,0.27569836,2.484316,1.8928909
0.0915263816714286,-1.2467535,-2.1502328,-2.0163417,-0.31501243,-2.905456,0.4776458,2.557958,1.3836695
0.0751389637589454,-1.3168402,0.39688995,2.743223,-1.4314277,-2.3630254,-0.3661879,2.0832427,1.9808344
-0.0951863229274749,-1.0324364,-3.8764408,-0.62672263,-3.3409708,-0.0961108,-1.4117012,0.8613037,1.5092046
0.0933813825249672,-0.46466354,-1.1014588,0.9037108,-0.092702344,-2.1585684,0.25692287,3.6712823,1.1727852
-0.0006155604496598,0.35124886,-0.90123045,3.002829,-2.2851517,-0.91349405,-2.1399646,1.458061,2.5587325
0.0006155604496598,0.7857101,-4.4287033,-0.177764,-2.753604,-2.0887568,0.081983596,-0.85461605,2.8234234
0.0,0.9650034,-4.3862414,0.04257173,-2.79959,-2.1987283,0.073308654,-0.89943457,2.7762814
-0.2177370935678482,-1.887942,-0.40737414,1.5660483,1.3668622,-1.7169867,-1.7637372,-0.5918058,4.7965126
0.0943081378936767,-1.1339918,-2.7228744,0.09585884,-0.14595795,-1.3525134,1.5583372,2.9548879,1.7332677
0.0452495925128459,-0.7441414,0.16569583,2.1428058,-2.2331934,-3.1155488,-1.0118641,1.5397594,1.3183204
-0.2676639258861542,-1.8473319,-0.5500744,1.929239,1.6106976,-1.7752622,-1.6013546,-1.2758434,4.992715
0.0024878238327801,0.20287338,-2.6226985,0.14713079,-0.41795072,-1.0509655,0.4047489,2.3724148,1.8858979
-0.1224359050393104,-3.0914378,-0.7264004,1.093397,-0.64948833,-0.6651006,-3.247707,1.4124459,1.4409759
-0.0562568642199039,-2.090112,-2.0546458,1.9994038,-1.9004568,-1.3054794,-2.4911125,0.65754354,-0.49914372
0.077597863972187,-3.1972299,-3.0395546,0.017963432,-2.2239196,-1.5503542,2.380531,1.3859838,2.6274257
0.0,1.1961586,-2.0036826,1.0772032,-0.390335,-0.7879503,-1.4621247,3.1696758,1.7127278
0.0590864904224872,-1.406478,0.46045515,2.1050038,-2.106999,-3.1276262,-0.30434725,1.8112622,1.6913884
0.0,0.48979414,-1.1858078,2.3893025,-2.4479673,-0.6714367,-2.0533214,1.4861016,2.4755116
0.1006195247173309,-1.3927475,0.11351696,2.505773,-1.7700541,-2.273736,-0.185781,2.1232252,1.9676886
0.0429713800549507,-1.4644582,0.30194774,2.9844148,-1.4666173,-2.2004092,0.27055222,2.3107226,2.1389241
0.0002485241857357,0.68576324,-1.082264,3.272805,-1.8697765,-0.8772329,-1.6211908,0.7785236,2.574683
-0.0791743174195289,-1.0703272,-4.564759,-0.50474703,-3.163185,-0.45417938,-1.1565524,0.6414499,1.1643355
-0.061442419886589,-2.538799,-0.98805106,1.4665456,-0.80280024,-0.5350851,-3.0598578,1.3021022,1.1951158
-0.0841641649603843,-3.1401718,-0.48812583,1.4599061,-0.6665781,-0.34521592,-3.0908241,1.5896137,1.5738418
-0.0010413710260763,-0.2542948,-2.8168375,0.26180312,-0.46363622,-0.19817635,0.594589,3.2108188,2.5055964
0.0,-0.6097859,-2.6327174,-0.20768805,-3.2297776,-0.98629946,0.52123064,1.0372692,3.6002805
-0.004788170568645,-2.247576,-1.2146333,1.3377807,0.17065401,-1.4027009,-2.4494963,0.54426193,2.738704
0.0456698350608348,-2.9938605,-3.0543468,-0.0019085556,-2.0288877,-1.390007,2.2993975,1.3975409,2.4630334
0.045762613415718,-0.665923,-0.13521944,0.49097288,-2.0106506,-4.974547,-1.7321632,0.6324298,1.2001618
-0.0358022600412368,-0.80400527,-2.9527647,-0.9230285,0.14874054,-0.20146088,-0.6974843,3.1065528,1.9656775
-0.1243175864219665,-2.3525507,-2.833229,2.1451724,-1.4064316,-1.2314798,-2.868888,0.38214225,-0.9493427
0.1273659616708755,0.09946613,-1.4589052,-0.97732806,-0.33762923,-3.9883597,-1.4207236,2.3405263,0.76638436
0.0605182610452175,-0.7796699,0.39304438,0.60367477,-2.1321337,-4.44167,-1.6127204,0.7483347,1.4743745
0.0579130761325359,-1.6427702,-0.09182829,3.123775,-1.5462072,-2.3470452,-0.028751366,2.1638255,1.9529753
0.0,1.4750822,-3.7677455,-0.34457153,-0.7345672,-2.2215135,-0.3240492,1.0921084,1.6789589
-0.0039634048007428,0.9390562,-3.3474329,3.5558593,-1.5703008,-2.2015283,-1.6861904,-0.6470391,1.3843089
-0.068220779299736,-0.5034817,-3.4999197,0.5152896,0.06405055,-1.0768812,-2.4635992,2.2875159,-0.6323674
-0.1706096231937408,-1.1803914,-3.0110044,-0.053829126,2.3496923,-0.8489367,0.51819146,0.18259995,3.9638424
-0.0104084946215152,0.96550095,-3.3197594,3.508092,-1.5373414,-2.2050211,-1.523927,-0.27506793,1.0439624
0.0727429464459419,-1.3782326,0.37326106,2.2418504,-1.6906877,-2.6614816,0.008601189,2.068106,1.5823444
-0.1122181117534637,-2.114862,-1.6632265,1.3633496,2.0728943,-2.2244458,-1.9012784,-1.1726779,4.535251
