steering,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
0.0997896939516067,-0.7302362,-1.0933603,2.0093033,0.4739825,-2.2909575,-5.203622,-2.3425734,3.377249
-0.041853442788124,-2.5138874,-3.0013547,0.810512,2.9773712,-1.2106409,-1.4153118,-4.340948,1.0460653
-0.011258109472692,-0.88571805,-1.1330668,2.6382134,3.728566,0.05730213,-1.387101,-6.1591,1.1847023
-0.0919000804424285,-2.5195615,-2.1749415,0.9819791,3.7163024,-0.1591799,-1.0413296,-5.145518,0.68796307
0.0006155604496598,-3.0089579,-3.2102065,0.7142656,2.4803336,-2.7733579,-2.1507306,-0.5049005,4.256519
0.0680250376462936,-0.60074914,-1.2046367,1.9960558,0.636573,-2.4169738,-4.7368584,-2.3443408,3.58794
-0.0579618476331234,-2.2808957,-3.0790505,0.5147561,2.6313248,-2.1096106,-2.0164726,-1.467857,3.814532
-0.1456137150526046,0.58711404,-0.6261241,5.777157,1.6959183,-0.9488901,-0.7328329,-3.09128,2.3838227
-0.0884554907679557,-2.643251,-2.3184092,0.8104665,3.5917969,-0.24100958,-1.4322388,-5.4879723,0.65551865
0.0596058443188667,-1.2516887,-1.9989622,2.0289774,-0.2971506,-4.2248716,-4.141121,-2.3970757,1.05075
-0.0716295391321182,-0.363582,-2.7305827,0.0882836,2.2768257,-3.1269708,-0.042310998,-4.6249957,2.5251367
0.0006155604496598,-5.268656,-3.5998454,2.9363818,1.6361591,-1.401032,-0.740492,-0.8380371,1.887256
-0.1274157911539077,0.37904948,-2.5125468,3.7187934,1.095548,-3.7334263,0.7752282,-2.1377683,2.745955
-0.0009950052481144,-5.346425,-3.8965468,2.6103215,1.7487628,-1.479321,-1.141411,-0.98519117,1.6785438
-0.0773831531405448,0.27261758,-2.6727085,0.36439458,2.1580613,-3.1390378,0.39587492,-4.5855174,3.0700936
-0.0008006644784472,-1.5170527,-2.854666,1.0309311,1.1526434,-2.3696764,-2.0432124,-1.3918059,5.2987566
0.0984862372279167,-0.9403403,-2.3473744,2.606879,0.2530521,-5.2664638,-2.9078455,-2.0447998,-1.0875477
-0.0010249688057228,-1.6483573,-2.8478117,0.8453347,1.2642732,-2.496136,-2.1208034,-1.4506769,5.3908014
-0.1311637461185455,0.37449974,-2.5067463,0.5641,2.277904,-3.431334,0.920957,-4.6720867,3.2923129
0.0,-2.7429457,-3.5035462,0.67908406,2.2018113,-2.5640218,-2.046733,-0.4442438,4.1774225
0.0773053914308548,-0.76650566,-2.2236643,1.9779077,0.16501297,-4.009485,-4.388804,-2.0812967,0.5248958
0.0755486041307449,-1.1946789,-0.8834782,1.8370935,0.09026301,-2.0757575,-5.329191,-2.4123657,3.5414462
-0.0582428537309169,-2.9353597,-2.6667154,1.0031669,3.3242388,-0.72779506,-1.4980735,-4.986148,0.64946926
0.0,-2.7721047,-3.1172166,1.0092863,2.2336197,-2.678611,-1.8495218,-0.5135665,3.887657
0.0633952394127845,-1.7735835,-2.8731427,2.1701858,0.9021735,-5.2114806,-3.4621382,-1.7129896,-1.6139553
-0.0884947702288627,-2.0084407,-2.7297795,0.70799315,3.616709,-1.0635912,-1.0290961,-4.95141,1.1664923
-0.0800089910626411,-2.5010927,-1.996455,1.0702498,3.8900237,-0.35239047,-0.9888557,-5.3063364,0.74548566
0.1051525175571441,-0.73727065,-1.5581125,2.072797,-0.90508306,-3.2389417,-4.1878185,-1.9482985,1.9851949
-0.0053185792639851,-2.557871,-3.436067,1.1661007,1.941931,-2.5544887,-1.7157688,-0.51202774,3.3050044
0.0,-5.3037386,-3.8071008,2.5406034,1.7246219,-1.3808656,-1.2397605,-1.1260983,1.9952155
0.0,-5.371936,-3.767561,2.6533363,1.6857839,-1.3843927,-1.0825262,-1.0033276,1.6466495
0.1273688375949859,-0.9582211,-1.9136647,2.050767,0.1818465,-4.7506585,-3.974978,-1.940396,-0.338908
0.0011221152963116,-1.8703285,-2.6741767,1.2074337,1.0376202,-1.786715,-1.6767333,-1.5900828,5.0565376
-0.0445997342467308,-2.7952108,-2.6737804,0.9129541,3.4930532,-1.0877373,-1.1599845,-4.6431303,0.9366866
-0.0401609130203723,-0.1928771,-2.848915,0.39313588,2.764843,-2.543057,0.058112442,-4.1598825,2.3826475
0.0762150883674621,-1.7549043,-2.6711037,2.639235,0.5931134,-5.0977654,-3.3616238,-1.7175559,-1.5806992
0.1270708739757537,-1.6233242,-2.1714401,1.8342795,0.32900655,-4.771998,-3.342435,-1.7965833,-0.72500396
-0.0722553953528404,-0.1427832,-3.1093876,0.29434013,2.854403,-2.7916691,0.041418433,-4.2762146,2.2402198
-0.0616709515452384,0.2103898,-2.4913661,0.53688437,2.1318877,-3.3528771,0.48718023,-4.6421037,3.5339065
0.0760243460536003,-1.0474768,-1.2843946,1.7180878,-0.021081384,-2.9738803,-5.541498,-2.052247,2.4361484
0.2196963727474212,-2.650083,-0.04891886,2.8892431,-0.41880205,-2.9754043,-1.4904913,-3.9516327,1.8747206
0.0937058553099632,-1.2308546,-2.0215745,2.428676,-0.42676717,-4.6334867,-3.186143,-2.415438,0.29303744
-0.0832950696349144,0.5054295,-2.541802,4.4017286,1.3772537,-3.080697,0.2366336,-2.70083,2.6436033
-0.0775715708732605,-2.6498916,-2.5676003,0.7808345,3.012134,-1.0830504,-1.2722296,-4.4254837,0.9600157
-0.0703881010413169,-2.5461507,-2.8272922,0.8972321,3.6631668,-0.94508004,-1.5043116,-4.995536,0.8809892
0.1288402825593948,-0.82050896,-0.98660874,1.7632312,-0.15070307,-2.534355,-5.054224,-2.2252676,2.9558685
-0.0011323104845359,-5.4680295,-3.7557418,2.6881456,1.7284547,-1.2848395,-1.1915178,-0.8940367,1.6644347
-0.0471923239529132,0.20466198,-2.480609,3.1517637,2.1364796,-2.9288678,0.03513311,-3.064313,2.5566502
-0.0785940587520599,-0.8426718,-2.0801845,0.8650983,3.308563,-1.5069385,-0.9641917,-4.8908052,1.3643872
0.0751048848032951,-1.6421186,-2.7164183,2.1209989,0.5856732,-5.091852,-3.5279531,-2.0101116,-1.3587314
0.0,-5.337599,-3.770695,2.516716,1.8220546,-1.3765224,-1.0982736,-0.7836051,1.9201276
-0.0899473279714584,-0.109000266,-2.452411,0.59615,1.9765477,-3.2275307,0.6208427,-4.5626874,2.8775907
-0.0942840427160263,0.26280048,-2.5723238,4.73863,1.5141346,-3.0286856,0.54536706,-2.5986922,2.9681268
-0.0437637120485305,-2.6313677,-2.812792,0.52395105,3.7665462,-0.70717865,-1.4811251,-5.0730066,0.5910112
-0.1364595592021942,0.36230576,-1.6370186,2.414024,2.907617,-1.1955554,-0.22718361,-4.642314,2.1345034
-0.0151514569297432,-1.6899701,-1.6476505,1.6702547,3.9851718,0.32707724,-1.1768006,-6.4415092,0.9306589
-0.0346463285386562,0.28891006,-2.9265969,0.88505274,2.7043192,-3.2753727,0.37657046,-4.508959,2.3226814
-0.0574913881719112,-2.4653358,-3.059926,0.4741271,3.4093502,-1.22731,-1.0388494,-4.782468,0.8055775
0.0,-3.0777345,-3.1665025,0.7439118,2.2853038,-2.7581823,-2.6292868,-0.42657372,3.86887
0.0010107608977705,-1.5967824,-2.6605835,0.9610553,0.8906072,-1.7407111,-1.9381175,-1.8135808,4.9360714
-0.0830817222595214,0.28431216,-2.6265507,0.23375866,2.1114364,-3.2113152,0.52493834,-4.7904725,3.1587849
0.0538513474166393,-2.721783,-3.1327934,2.0279233,1.4672363,-4.2323484,-2.8131459,-1.242166,-0.97228485
-1.0,-0.3721606,-2.0422893,2.478005,1.2564113,-3.4846268,-0.14383811,-2.4496558,2.0869288
0.0439583770930767,-1.676905,-2.942079,2.7648573,0.5078762,-5.1144147,-3.5384648,-1.8314013,-1.6500908
-0.0366069860756397,-2.5239966,-2.553638,0.5487802,3.0465329,-1.027414,-1.2036406,-4.4626184,0.4457394
0.0667498409748077,-1.4683368,-1.9333988,1.3990426,0.11807818,-2.7913764,-4.2707663,-1.6832609,2.660482
-0.0475304387509822,-2.4442098,-2.9241602,0.6590957,3.4440484,-1.0842451,-0.82925016,-4.610857,0.89985186
-0.1413125991821289,-1.0222101,-2.9318411,0.10559421,3.0300045,-1.7703296,-0.46216634,-4.6400766,1.6071523
-0.1561989784240722,0.11961784,-0.41111735,3.818513,3.0476203,-0.5295396,-1.4777119,-5.2768774,1.51234
-0.0682077854871749,-0.0666227,-2.6415982,-0.12360279,2.0698574,-3.0149734,0.06069933,-4.4241495,2.8658512
-0.1251365095376968,-1.7907016,-2.7048979,0.52105033,3.4983425,-1.1529949,-0.581977,-5.0566845,1.0722593
-0.0009520922321826,-3.1764219,-3.3141494,0.9506405,2.3081617,-2.816218,-1.9064972,-0.13647948,3.6375997
0.0607321411371231,-0.8054662,-1.5441397,1.684301,0.5148657,-2.3784032,-4.599231,-2.049175,3.2929502
0.0006155604496598,-5.013078,-3.8525684,2.381112,1.8043778,-1.3721287,-1.1010984,-0.9118419,1.8726063
-0.0574059374630451,0.08819203,-2.5565774,-0.046651155,1.9678957,-3.2214963,-0.053910315,-4.4948144,3.2134743
-0.0820569396018982,-2.8092108,-2.5027347,0.98133343,3.1061177,-0.9791168,-1.3596153,-4.560701,0.96618855
0.0656660348176956,-1.4661818,-2.5259347,2.475401,0.38832903,-5.062696,-3.1861093,-2.253485,-0.8813541
0.0,-5.327128,-3.7222536,2.6446161,1.7527766,-1.5033002,-0.9476276,-1.1448251,1.696352
-0.1913446336984634,0.65572405,-2.1476207,5.2489476,1.8909457,-3.7145557,0.8569622,-2.1662924,2.853628
0.0542466342449188,-2.4094102,-3.5019364,2.2192554,0.6815758,-4.5571856,-2.8241687,-1.2635391,-1.1239806
0.1295854896306991,-0.84116185,-1.3130193,1.5848637,0.23666124,-2.5174127,-5.420258,-2.195098,3.1142979
-0.0435676164925098,0.36790693,-2.7718163,0.85268795,2.4706302,-3.3122418,0.8360026,-4.530916,2.9642193
-0.0648961663246154,-2.8541753,-2.6115007,0.92310977,3.4268146,-0.57520026,-1.6123738,-5.1935754,0.66072285
0.0,-2.9497855,-3.128042,0.80128866,2.3045945,-2.727637,-1.891238,-0.1799464,3.7395368
-0.1233197897672653,0.27030298,-2.3389385,0.38927016,1.929793,-3.3994381,0.7098509,-5.0679584,2.7992
-0.0024333975743502,-5.0594234,-3.6737227,2.7149663,1.7821691,-1.5204821,-1.1788673,-0.5943812,1.6316999
-0.0427058972418308,-2.4689283,-2.906868,1.0858599,3.5430791,-0.98992175,-1.1974214,-4.771139,0.8946565
-0.0010729030473157,-2.9524271,-3.1856797,0.835635,2.4348667,-2.6775813,-2.0858223,-0.33092046,3.9424572
-0.0601081773638725,-2.043609,-3.1818023,0.31425136,3.3660843,-1.7112626,-0.9708495,-4.045904,1.040026
-0.0631784722208976,-2.0091796,-1.5850561,1.5566344,3.810376,0.005720988,-1.3702852,-5.955958,1.0173668
