steering,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7
-0.1178114861249923,1.1921091,-0.54157144,3.191044,-1.2496798,0.67450726,1.3327247,0.21895379,-2.4155407
-0.0741878822445869,1.831498,0.47133636,3.2262566,-1.6403813,0.6973885,0.5422092,1.3831007,-1.5682824
0.0477990135550498,1.9484951,0.7025499,1.4572086,-1.78732,2.4540915,0.6983748,1.4639903,-1.7046144
-0.1075930371880531,0.99181527,-0.018496845,2.8565738,-2.0020988,0.2672031,1.5262334,1.0334857,-2.014527
-0.0008705339860171,0.93129474,0.09544664,2.5663757,-2.2726154,0.21921909,1.3811824,2.5668666,-1.1872597
-0.0010107608977705,2.1132312,0.20060301,1.8269099,-3.807655,-0.006447576,1.433515,2.6281512,-0.52758193
-0.0004398273595143,0.7395122,-0.05076994,2.471427,-2.1301389,0.5000978,1.562076,3.1615398,-1.6235174
-0.0657444670796394,1.6933284,-0.26309124,2.7389085,-1.115473,0.6554186,0.90438765,0.6513422,-1.3387167
0.0,1.1420685,0.06697467,2.421687,-1.9843383,0.49774912,1.6545167,3.3045297,-1.2121006
-0.0555194318294525,1.6599782,0.028442021,1.3915435,-3.2248828,-0.31012863,2.352167,0.4281315,-1.6843666
0.071242019534111,1.7602233,0.3319316,1.4739647,-1.041565,2.6498108,1.0376899,1.7867922,-1.9645541
0.1673085838556289,2.4675426,0.09956556,1.891977,-0.94083256,1.0801916,0.47940618,1.9672264,-2.2251914
-0.0066459053196012,2.7869873,0.2566249,3.6184335,-0.9854593,0.44509953,1.215317,0.3423833,-0.70285887
0.2806107103824615,2.4029813,-0.14289252,2.1827307,-1.1400789,1.0793397,0.017157406,1.1273736,-1.6641456
0.1265292912721634,1.7221433,0.26047695,1.2951218,-2.235014,3.4410653,1.0168674,1.5823928,-1.6452938
0.0643913522362709,1.4087521,0.815153,1.9109708,-0.685244,1.1118975,0.71539354,2.9181316,-2.3497288
0.0752334296703338,1.8617078,0.18696442,1.4515913,-1.9245679,3.2402956,1.1920136,1.2235391,-1.4594618
-0.0937706679105758,1.0228891,-0.06283133,2.512207,-2.0771184,0.5176312,1.5487075,0.08279768,-2.521275
-0.0006155604496598,1.7827306,-0.005813544,1.6133298,-3.7226522,0.17402188,1.6420096,2.5524044,-0.4015664
-0.0955640077590942,1.7576053,-0.096370086,1.3517962,-2.5227933,-0.27385902,2.4258378,0.6660474,-1.8684952
-0.0012730832677334,1.2234751,-0.6876043,2.7608945,-2.1840873,0.33615276,1.5658305,2.8384182,-1.2499015
0.0941542759537696,1.8743099,0.16483997,1.097332,-2.11635,3.108539,1.0580984,1.1282772,-1.2884707
0.0006220098002813,1.7275938,0.9369072,2.2288976,-2.9778042,0.20264256,1.0902371,2.4422693,-0.76597047
-0.0291224047541618,1.233923,0.4678893,2.026526,-2.7958705,0.1863963,1.3327851,0.46271068,-1.3529785
-0.0577498078346252,1.8470502,0.5410613,3.231023,-0.9459595,0.6038978,0.765647,0.64313006,-1.4350557
-0.0924508348107338,1.0274687,0.069053546,1.8939675,-3.349179,-0.12944943,2.1360655,0.13697435,-1.773964
-0.1168830245733261,0.836635,-0.34557974,3.151588,-1.2072967,-0.00046637654,1.2571932,0.3485163,-2.574397
-0.1082314997911453,2.7672348,0.2892834,3.58373,-0.7423111,0.30391622,0.9721572,0.58794004,-0.7586185
0.0718385428190231,1.759106,-0.06126493,1.8967936,-0.15542404,1.1657033,0.9769265,3.129875,-2.8301373
0.0001757331192493,1.422718,0.7409414,2.2110994,-2.8709211,0.28563046,1.1154039,2.401542,-0.89208
0.0002485241857357,0.6915355,0.4040853,2.6620278,-2.053947,0.47100988,1.0492524,2.8356888,-1.4145316
-0.0004398273595143,1.0232235,0.08680637,2.82113,-2.226435,0.5243449,1.5291324,2.8505106,-1.8509088
0.0004398273595143,1.6828932,0.7134056,2.4236615,-3.5044088,0.19962674,1.0968922,2.3640287,-0.67546505
-0.0384108237922191,1.0989649,0.16101311,1.8776745,-2.3547006,0.3251822,1.9029809,0.8443233,-2.07239
-0.0014527320163324,0.84852463,-0.33666623,2.9831405,-0.81852067,0.19637397,1.2364362,2.7806566,-2.5078
-0.1252394020557403,2.0101504,0.4872379,3.7417345,-0.56878644,0.31806996,0.70755017,0.8384588,-1.1876401
0.0755515471100807,2.1537216,-0.2553214,0.65214694,-1.8866259,3.8217688,1.0696559,1.5418068,-1.2504401
-0.0439291223883628,0.75470734,-0.3574078,2.368,-1.8974626,-0.10715696,1.734869,0.82924914,-2.194534
0.0861116200685501,1.679133,0.22526282,1.1342123,-1.7697414,3.4424777,1.1060188,1.4999,-1.4905676
-0.2020289599895477,3.0559053,-0.015099356,4.294969,-0.36075312,0.7642114,0.38372248,0.7510644,-0.78800595
-0.1345344334840774,0.99667853,0.54251903,2.8622363,-1.5504444,0.4612626,1.2474864,1.1717037,-2.0986652
0.101825937628746,1.8765562,0.15448722,1.8891457,-0.45971042,0.93916905,1.2022946,2.9095263,-2.7700257
0.0467174090445041,1.6417658,0.12196017,1.4215807,-2.2783928,2.498464,1.5418795,1.6858449,-0.9979762
-0.0937102660536766,1.6895025,-0.10161996,1.3276058,-3.1466365,-0.072218694,2.0796068,0.60382235,-1.3981357
0.0853908658027648,2.08028,0.19492677,1.6823984,-0.5273908,1.6548438,0.7931194,3.2886248,-2.8101273
