steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to -0.15,-3.5810673,1.1276454,0.8823569,-1.3242449,-0.86265594,-1.2259687,0.3605904,1.0902978,0.6695279,5.3378754,3.8910408,4.044976,3.9141674,2.7152522,5.073717,4.134595
-0.15 to 0.15,-4.354202,0.15752035,-0.18965435,-2.5490472,-3.6493556,-1.5608224,-0.5270282,-0.07528131,1.7178319,7.3925595,5.8334775,4.1020236,3.491618,5.8023415,6.020237,4.2413564
0.15 to 0.40,-2.226352,1.0388776,0.5234995,-0.95694023,-2.38028,-0.7916431,3.0232697,0.95790815,1.1393987,4.9383483,2.606542,3.9868186,0.26336157,2.6816936,4.8348665,3.2301478
