steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,-1.3032193,-3.269722,-0.385481,-1.1844397,-5.6331973,-3.6267385,-4.424066,-3.9654398,3.7561872,2.771788,4.4371357,3.6330147,1.6655174,2.476317,1.0677744,2.0904317
0.00 to 0.40,-1.2029784,-3.0478861,-1.739545,-2.1656723,-5.498968,-4.3492827,-4.196918,-3.9347856,4.6594105,2.1703138,3.1883125,3.6016157,0.046319187,1.1291379,0.72509843,1.9780068
