steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,-3.6373682,-1.2258571,-0.36484486,-3.7674866,-2.9287329,-4.61362,-3.396562,-4.0259647,1.9868273,5.259947,5.488029,2.191017,1.3752266,1.1084305,1.128965,2.0591555
0.00 to 0.40,-3.8143282,-0.86874175,-0.73532903,-3.8505826,-4.2739263,-4.1204786,-5.199146,-2.4185133,2.0300786,4.7563224,4.3021426,1.2535973,0.6130853,1.5271026,0.3257005,1.8483638
