steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,-2.2557542,-1.4735136,-0.49501878,-3.0136755,-5.0511007,-3.5393116,-0.932027,-2.0645742,1.5820196,3.6642768,4.4362855,0.4600691,0.72873336,0.88728034,3.8271375,2.4505274
0.00 to 0.40,-3.286086,-1.3380373,-0.677139,-2.0060875,-5.0813866,-3.076487,-1.4613051,-1.2801231,0.69892764,3.8462667,3.538973,1.1612027,0.6792195,2.0218332,2.9698963,2.6710892
