steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to -0.15,-1.7239664,-1.180337,1.26495,-2.7370472,-4.6092734,-2.0899422,-0.932027,-1.9608171,1.2714643,2.2919576,4.4362855,-0.29478174,0.7040512,0.59834313,1.4779989,1.2221001
-0.15 to 0.15,-3.286086,-1.4735136,-0.677139,-3.0136755,-5.0511007,-3.5393116,-1.4613051,-2.0645742,1.5820196,3.8462667,4.175923,1.1612027,0.72873336,2.0218332,3.8271375,2.6710892
0.15 to 0.40,-1.8821586,-1.1478685,0.3264922,-1.9121385,-5.0813866,-2.1857033,-0.68812966,-1.2801231,0.29652017,2.6773694,2.9718769,0.03586477,0.13731927,0.4561022,1.2649034,1.5542063
