steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to -0.15,1.048865,-3.1447945,2.0553,-4.097292,-0.35395768,-0.2649794,-0.543708,-4.700392,4.021654,1.1388391,6.443093,1.1428866,2.888244,4.9489007,2.8940027,0.37241784
-0.15 to 0.15,0.18097144,-4.571678,0.29957026,-5.0993357,-0.59705174,-0.17247573,-0.7287721,-6.525276,5.1470876,1.9989785,5.5688543,1.2396948,5.1610045,4.9724884,4.9534216,0.41222268
0.15 to 0.40,1.1692555,-1.3206111,1.2975798,-1.9920468,0.5108384,-0.2847258,0.23135096,-2.614817,3.1112704,1.13574,2.5837615,-0.07875705,1.5772288,0.9492072,3.1522236,-1.4489948
