steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,-0.61423147,-1.2129285,-2.7931156,-0.76951873,-2.03118,-5.6265874,-2.2685313,-3.5383017,5.512457,4.4969697,4.0031667,5.9395723,3.3301234,0.16164131,3.3827395,2.0749547
0.00 to 0.40,-1.2873672,-0.6537364,-3.0388207,-0.7688815,-0.9575022,-4.1183224,-1.3757495,-3.6137416,3.8667154,4.508507,3.2091973,5.423366,4.4449434,0.74668735,4.026734,2.2209973
