steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,-4.2281685,0.21057305,0.8560829,-2.5466042,-3.6493556,-1.5608224,-0.5270282,-0.07528131,1.0647887,5.4186034,5.8334775,4.0508094,3.9141674,4.81433,5.152767,4.2413564
0.00 to 0.40,-4.354202,0.15752035,-0.18965435,-2.5490472,-3.4117918,-1.2813889,0.70273525,0.15066315,1.7178319,7.3925595,4.4770536,4.1020236,1.8157129,5.8023415,6.020237,4.2210283
