steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,0.18097144,-4.571678,0.3720525,-5.0993357,-0.59705174,-0.2649794,-0.7287721,-4.843052,5.1470876,1.9989785,6.443093,1.2396948,4.2954903,4.9489007,4.9534216,0.37241784
0.00 to 0.40,0.20347184,-4.4863186,0.29957026,-4.4972544,-0.3296259,-0.2847258,0.23135096,-6.525276,4.0893426,1.59113,4.307253,0.8132748,5.1610045,4.9724884,4.2060013,0.41222268
