steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to -0.15,-2.240733,-3.3510602,-0.46641645,-1.7119074,-0.12671761,-0.8167382,-4.274178,-4.068062,0.4405208,2.5658422,6.0868626,3.5972724,3.308954,2.0527909,-1.0925782,0.69827104
-0.15 to 0.15,-2.1697397,-4.609988,-0.43049288,-2.1365416,-1.5099105,-0.991409,-4.3589625,-4.471533,4.2138987,2.1812775,6.0861735,3.8493345,4.3453336,3.8848913,1.5823154,0.7035377
0.15 to 0.40,-0.4981102,-2.7631996,1.2949421,1.2478238,-1.6490757,-0.97429335,-0.65178996,-4.3507156,2.45477,-0.18147424,5.3802404,3.3818336,3.4014382,1.5588781,2.068442,-1.4006009
