steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to -0.15,-0.3290164,-0.8209009,-2.7931156,0.23525482,-2.03118,-5.6265874,-2.2685313,-3.4285793,4.195192,2.8995314,1.8404626,5.9395723,1.313738,-1.4312624,3.0290678,1.9080863
-0.15 to 0.15,-1.2873672,-1.2129285,-2.7912674,-0.76951873,-1.4542962,-5.138363,-2.2411785,-3.6137416,5.512457,4.508507,4.0031667,5.423366,4.4449434,0.73270416,4.026734,2.0886984
0.15 to 0.40,0.29313666,0.6955546,-3.0388207,0.098619565,0.17834693,-3.058838,1.0809605,-2.358105,2.662214,3.811411,-0.07679491,4.823984,2.5281792,0.74668735,3.1454375,2.2209973
