steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to 0.00,-5.6585646,-4.3377414,-0.54583424,0.24153697,-4.2495184,-2.9674857,-6.446821,0.202199,1.5376643,0.14119263,7.1190844,4.1002088,0.616984,1.5092596,0.121635005,5.69087
0.00 to 0.40,-5.622713,-4.36473,0.42242607,-1.5876296,-5.491792,-5.8706117,-4.4422817,-2.0144498,0.53173745,0.48999342,5.3967366,2.596774,-0.8194357,0.6097872,-0.035680518,5.6532345
