steering_range,lower_bound_1,lower_bound_2,lower_bound_3,lower_bound_4,lower_bound_5,lower_bound_6,lower_bound_7,lower_bound_8,upper_bound_1,upper_bound_2,upper_bound_3,upper_bound_4,upper_bound_5,upper_bound_6,upper_bound_7,upper_bound_8
-0.40 to -0.15,0.77734375,-2.0165157,1.3625891,-1.1844397,-5.6331973,-3.6267385,-3.087866,-0.8064558,3.2719042,2.7565243,4.4371357,3.3270814,0.6749304,1.8769451,1.0677744,2.0904317
-0.15 to 0.15,-1.3032193,-3.269722,-1.739545,-1.5844026,-5.498968,-4.3492827,-4.424066,-3.9654398,4.3732514,2.771788,4.3718486,3.6330147,1.6655174,2.476317,0.7513709,2.0227976
0.15 to 0.40,1.9622867,-2.77756,-0.45377174,-2.1656723,-3.725766,-2.409303,-2.635277,-3.8190668,4.6594105,1.5448877,1.1456263,1.1356634,-1.5638522,1.0584254,-0.38742068,1.0304153
